"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 9, 2023","DISPUTES","","","8807209795588",1,0,0
"October 9, 2023","DISPUTES","Contact Details","Contact Details:1209774166 | MDT_0001175127_0000011164","8805203181572",1,0,0
"October 9, 2023","DISPUTES","CTA","CTA:Filter CTA","8809921445892",0,5,0
"October 9, 2023","DISPUTES","Find MDT Contacts","Find MDT Contacts:100002667495","8809921445892",1,1,0
"October 9, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: App: CENT, Locale: English, Key: commercialStatus.NotRecognized","8803564224516",1,0,0
"October 9, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Disputes Overview","8803564224516",0,0,0
"October 9, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Disputes Overview","8805203181572",0,0,0
"October 9, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Übersicht Rechnungsreklamation","8807209795588",0,0,0
"October 9, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Übersicht Rechnungsreklamation","8809921445892",0,0,0
"October 9, 2023","DISPUTES","Home","Home:Widget: Account Financial","8809921445892",1,0,0
"October 9, 2023","DISPUTES","Invoice","Invoice:More Info 1027719241","8805203181572",1,0,0
"October 9, 2023","DISPUTES","Leave page confirmation","Leave page confirmation:Leave","8805203181572",0,1,0
"October 9, 2023","DISPUTES","Leave page confirmation","Leave page confirmation:Leave","8809921445892",1,0,0
"October 9, 2023","DISPUTES","More Details","More Details:1196778838","8809921445892",0,1,0
"October 9, 2023","DISPUTES","More Details","More Details:1197719296","8809921445892",0,1,0
"October 9, 2023","DISPUTES","More Details","More Details:1209774166","8805203181572",0,1,0
"October 9, 2023","DISPUTES","View Dashboard","View Dashboard:Dashboard Viewed","8809921445892",1,0,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002587602","8805203181572",0,1,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002657158","8805203181572",2,2,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002716850","8805203181572",1,1,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002836763","8805203181572",1,0,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002862185","8803564224516",0,1,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:100002865380","8803564224516",1,1,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:Download Attachments: FR_RJ_PRICING","8803564224516",0,1,0
"October 9, 2023","DISPUTES","View Dispute","View Dispute:Download Attachments: undefined","8803564224516",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","","","8807006699524",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","","","8808879587332",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","","","8809921445892",2,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8805203181572",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8809921445892",0,2,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Download","History Report:Cancel","8805203181572",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Download","History Report:Downloaded: excel","8805203181572",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Email","Email:Cancel","8809921445892",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Email","Email:Email Initiated","8805203181572",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Email","Email:Email Initiated","8809921445892",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Error","HOME:Error: Internal Server Error","8811697274884",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Internal Server Error","8807006699524",0,2,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Find MDT Contacts","Find MDT Contacts:100002667495","8809921445892",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Connect Enterprise | English | paidreason","8803564224516",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: History Report","8805203181572",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: ITCAccountStatement","8807006699524",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8805701550084",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8809921445892",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Statement of Account","8805203181572",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Statement of Account","8807006699524",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Statement of Account","8811697274884",0,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8803564224516",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8805203181572",3,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8808879587332",5,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8809921445892",5,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8811697274884",2,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Orders","8805701550084",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:Less Info 1400358146","8811697274884",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1027719241","8805203181572",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1192908729","8809921445892",0,1,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1209774166","8805203181572",1,0,0
"October 9, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1209775401","8805203181572",0,1,0
