"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 2, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Informe del histórico","8803074736132",1,0,0
"October 2, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Resumen de disputas","8803074736132",0,0,0
"October 2, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Récapitulatif des litiges","8807071088644",0,0,0
"October 2, 2023","DISPUTES","Orders","Orders:Order Details: 6219433546","8807071088644",1,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8803074736132",0,1,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Download","Statement of Account:Download Initiated","8803074736132",0,1,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Internal Server Error","8804647305220",0,1,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Extracto de cuenta","8803074736132",0,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Resumen de disputas","8803074736132",1,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8803074736132",2,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8804647305220",1,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8811790336004",3,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:Less Info 1199486081","8811790336004",0,1,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Search Term","manageActiveCustomers:1550549","8811790336004",1,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Search Term","manageActiveCustomers:Direx","8803074736132",1,0,0
"October 2, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Search:1199486081","8811790336004",0,0,1
"October 2, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Search:1550549","8811790336004",0,0,1
"October 2, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Informe del histórico","8803074736132",0,0,0
"October 2, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Informe del histórico","8811790336004",0,0,0
"October 2, 2023","ITCHISTORYREPORT","Home","Home:Widget: Account Financial","8803074736132",1,0,0
"October 2, 2023","ITCHISTORYREPORT","Statement of Account","Search:1550549","8811790336004",1,0,0
