"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 1, 2023","DISPUTES","Dispute Summary","Dispute Summary:Back | 1233018020","8809954181124",1,0,0
"October 1, 2023","DISPUTES","Leave page confirmation","Leave page confirmation:Leave","8809954181124",0,1,0
"October 1, 2023","DISPUTES","More Details","More Details:1197674372","8809954181124",0,1,0
"October 1, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8798321868804",0,1,0
"October 1, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8809954181124",0,2,0
"October 1, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: MDT_0001051016","8809954181124",1,0,0
"October 1, 2023","ITCACCOUNTSTATEMENT","History Report","Filter Applied:Commercial satus | UnallocatedPaymentCleared","8809954181124",0,0,2
"October 1, 2023","ITCACCOUNTSTATEMENT","History Report","Filter Applied:Commercial satus | UnrecognizedCreditNoteCleared","8809954181124",0,0,1
"October 1, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8809954181124",2,0,0
"October 1, 2023","ITCACCOUNTSTATEMENT","Language Selected","Language Selected:English","8809954148356",0,1,0
"October 1, 2023","ITCACCOUNTSTATEMENT","Login","Login Success: Login_External : 2023-10-01T14:56:04.554Z","8809954181124",1,0,0
"October 1, 2023","ITCACCOUNTSTATEMENT","Login","Login Success: Login_External : 2023-10-01T15:16:42.223Z","8809954148356",1,0,0
"October 1, 2023","ITCACCOUNTSTATEMENT","Survey Popup","Survey Popup:Survey Cancel","8809954148356",0,2,0
"October 1, 2023","ITCACCOUNTSTATEMENT","View Dispute","View Dispute:100002866699","8809954181124",1,1,0
"October 1, 2023","ITCHISTORYREPORT","CTA","CTA:Filter CTA","8809954181124",1,4,0
"October 1, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: History Report","8809954181124",0,0,0
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | Cleared","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | Outstanding","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | Past due","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | ResidualBalanceCleared","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | UnallocatedPaymentCleared","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | UnearnedDiscountCleared","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Commercial satus | Unpaid","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Applied:Document Type | Payment","8809954181124",0,0,1
"October 1, 2023","ITCHISTORYREPORT","History Report","Filter Removed:Commercial satus | UnallocatedPaymentCleared","8809954181124",0,0,0
"October 1, 2023","ITCHISTORYREPORT","Invoice","Invoice:More Info 1196552339","8809954181124",1,0,0
"October 1, 2023","ITCHISTORYREPORT","Survey Popup","Survey Popup:Survey Cancel","8809954181124",0,1,0
"October 1, 2023","ITCHISTORYREPORT","View Invoice","View Invoice:1195636934","8809954181124",1,0,0
