"LAST_DAY","DESCRIPTION","Period","Period (Proper)","FISCAL_YEAR","FISCAL_QTR","FISCAL_MONTH","FISCAL_WEEK","WEEK_DAY","FISCAL_MONTH_NO","TOTAL_WKS_IN_FIS_MTH","FISCAL_WK_IN_MTH_NO","CAL_YEAR","CAL_QTR","WORK_DAY_FLAG"
"2019-04-27","4/27/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Sa,1,4,1,CY2019,Q2,N
"2019-04-28","4/28/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Su,1,4,1,CY2019,Q2,N
"2019-04-29","4/29/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Mo,1,4,1,CY2019,Q2,Y
"2019-04-30","4/30/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Tu,1,4,1,CY2019,Q2,Y
"2019-05-01","5/1/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,We,1,4,1,CY2019,Q2,Y
"2019-05-02","5/2/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Th,1,4,1,CY2019,Q2,Y
"2019-05-03","5/3/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK01,Fr,1,4,1,CY2019,Q2,Y
"2019-05-04","5/4/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK02,Sa,1,4,2,CY2019,Q2,N
"2019-05-05","5/5/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK02,Su,1,4,2,CY2019,Q2,N
"2019-05-06","5/6/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK02,Mo,1,4,2,CY2019,Q2,Y
"2019-05-07","5/7/2019",FY20 01 MAY,FY20 01 May,FY2020,Q1,MAY,WK02,Tu,1,4,2,CY2019,Q2,Y
